Factory_Name,Category,Product_Type,Brand,Empty,Parent_Group,Address,City,State,Zip,Country,Region,Workers,Female_Workers,Line_Workers,Migrant_Workers
MILTEKS TEXTILE EGYPT,FINISHED GOODS,Apparel,Nike,,MILTEKS,6th of October Industrial zone 1 B42 no196,Cairo,AI Jizah,12451,Egypt,EMEA,695,608,60,0
Dong Guan New Prosperity Optical Mfy Ltd. Chang An Branch,FINISHED GOODS,Equipment,Nike,,SUN HING OPTICAL,No 43 XinFeng Road XinMin District ChangAn Town,Dongguan,Guangdong,523879,China,N ASIA,81,70,71,0
"Wenzhou Outlook Eyewear Co., Ltd",FINISHED GOODS,Equipment,Nike,,WENZHOU OUTLOOK,Number 12  Shengye Rd  Lucheng District,Wenzhou,Zhejiang,325019,China,N ASIA,29,22,45,0
"CHUAN CHENG HAT CO., LTD.",FINISHED GOODS,Apparel,Nike,,CHUAN CHENG,No 56 Chung Shan Road,TAICHUNG,Taichung,428,Taiwan,N ASIA,121,102,84,19
Ajara Textile Ltd (Bobokvati),FINISHED GOODS,Apparel,Nike,,MILTEKS,Bobokvati Street 14 Bobokvati Village,Kobuleti,Ajaria,6200,Georgia,EMEA,1507,1382,97,0
Skyrina.SA de C.V,FINISHED GOODS,Apparel,Nike,,SABRINA,Federal Highway 129,Tlatlauquitepec,Puebla,73907,Mexico,AMERICAS,350,300,90,0
LEADING STAR THANH HOA GARMENT COMPANY LIMITED,FINISHED GOODS,Apparel,Nike,,LEADING STAR, Lot CN 04 South Zone A Bim Son Industrial park Bac Son Ward,Bim Son,Thanh Hóa,44000,Vietnam,SE ASIA,1223,992,88,0
"H&L APPAREL(VIETNAM) CO.,LTD",FINISHED GOODS,Apparel,Nike,,H&L,Lot D 11 CN My Phuoc 2 IP My Phuoc Ward,Ben Cat District,Bình Duong,590000,Vietnam,SE ASIA,1050,1000,95,0
PT Rodeo Prima Jaya,FINISHED GOODS,Apparel,Nike,,PRIMA,Jl Raya Kaligawe Km 7 Semarang,Semarang,Jawa Tengah,50117,Indonesia,S ASIA,590,550,91,0
Eren Perakende ve Tekstil AS (Misinli),FINISHED GOODS,Apparel,Converse,,EREN PERAKENDE,Vakiflar OSB Mahallesi D100 Caddesi,Tekirdag,Tekirdag,59930,Turkey,EMEA,105,89,43,0
Hirdaramani Fashions (Pvt) Ltd - Vavuniya,FINISHED GOODS,Apparel,Nike,,HIRDARAMANI FASHIONS (PVT) LTD VAVUNIYA,No 400,Vavuniya,Vavuniya,43000,Sri Lanka,S ASIA,1087,938,81,0
"NINGBO MITSUBANA APPERAL CO., LTD",FINISHED GOODS,Apparel,Nike,,NINGBO MITSUBANA,NO 1338 YUFAN ROAD E ZHENHAI,NINGBO,Zhejiang,315207,China,N ASIA,86,79,84,0
Far Eastern Apparal Suzhou Ltd. Co,FINISHED GOODS,Apparel,Nike,Collegiate,FAR EASTERN,88 Tianling Rd,Suzhou,Jiangsu,215128,China,N ASIA,714,462,90,0
OUTLOOK INTERNATIONAL GROUP (VIETNAM) COMPANY LIMITED,FINISHED GOODS,Equipment,Nike,,WENZHOU OUTLOOK, Factory Unit 3  Block 2A Phase 1,Pho Yen,Thái Nguyên,24722,Vietnam,SE ASIA,157,142,54,11
"Qingdao Changshin Shoes Co., Ltd.",FINISHED GOODS,Footwear,Nike,,CHANGSHIN,Matiquan Road 6,QingDao,Shandong,266300,China,N ASIA,2311,1906,89,0
"MANUFACTURE OF ARTISTIC BELT & ACCESSORIES CO., LTD.",FINISHED GOODS,Equipment,Nike,,ARTISTIC BELT AND ACCESSORIES,"Factory 7, DE1B & DE1 St., My Phuoc 3 Industrial Park,",Ben Cat Town,Bình Duong,82575,Vietnam,SE ASIA,58,50,72,6
"Regina Miracle International Vietnam Co., Ltd",FINISHED GOODS,Apparel,Nike,Collegiate,REGINA MIRACLE,No 9 East  West Street VSIP Hai Phong ,Hai Phong,Hai Phong,18000,Vietnam,SE ASIA,2281,2215,71,0
PT Adis Dimension Footwear,FINISHED GOODS,Footwear,Nike,Collegiate,SHOETOWN,Jl. Raya Serang Km. 24,Tangerang,Banten,15610,Indonesia,S ASIA,8315,8041,57,0
"Gifted Hosiery (Cambodia) Co., Ltd.",FINISHED GOODS,Equipment,Nike,,ZHEJIANG WALT,Land Number A 02 01 Building 1 2 3 4 ,Kampong Soam,Krong Preah Sihanouk,180103,Cambodia,SE ASIA,511,488,54,9
Song Lin Garment Sdn Bhd,FINISHED GOODS,Apparel,Nike,,RAMATEX,Lot 2552,Batu Pahat,Johor,83000,Malaysia,S ASIA,853,814,59,92
"ECLAT TEXTILE CO., LTD. (VIETNAM)",FINISHED GOODS,Apparel,Nike,Collegiate,ECLAT,5A RD NHON TRACH 2 INDUSTRIAL ZONE NHON TRACH DIST,Nhon Trach,Ðng Nai,810000,Vietnam,SE ASIA,5047,4528,78,0
Delta Galil Industries LTD Egypt,FINISHED GOODS,Apparel,Nike,,DELTA EQ GROUP,Delta Textile Shamal El Saeed,El-Minya,AI Minya,61784,Egypt,EMEA,2733,2630,85,0
"Acode Sporting Goods Co., Ltd.",FINISHED GOODS,Equipment,Nike,Collegiate,EXCELLENCE SPORTING GOODS,No 32  VSIP II A Street 31,Bac Tan Uyen,Bình Duong,822710,Vietnam,SE ASIA,432,399,78,0
Sheyang Zhixiang Knitting Clothing Factory,FINISHED GOODS,Apparel,Nike,,ZHIXIANG KNITTING FACTORY,NO 9 TONGGUANG ROAD,YAN CHENG,Jiangsu,224373,China,N ASIA,291,263,94,0
"Delta Galil Vietnam Co., Ltd",FINISHED GOODS,Apparel,Nike,Collegiate,DELTA EQ GROUP,Phu Kim Village Cat Trinh Commune,Phu Cat,Bình Ðnh,55000,Vietnam,SE ASIA,3695,2692,82,0
Augusta Sportswear de Mexico S. de R.L. de C.V.,FINISHED GOODS,Apparel,Nike,,MOMENTEC,Tablaje Catastral 45086 45087 45088 Caucel Merida Yuc 97300,Merida,Yucatán,97300,Mexico,AMERICAS,730,554,75,1
Quanzhou  Fengze Yisheng Leather Co,FINISHED GOODS,Apparel,Converse,,GRUPO MEXICO,BUILDING 3  SOUTH  XUNMEI  INDUSTRY  DISTRICT,Quanzhou,Fujian,362000,China,N ASIA,43,37,70,0
UAB Haltex,FINISHED GOODS,Apparel,Nike,,UAB HALTEX,Audeju str,Alytus,Alytaus Apskritis,62175,Lithuania,EMEA,297,248,92,2
"MDK Embroideries Garments Co., Ltd",FINISHED GOODS,Apparel,Nike,,THUAN PHUONG,09 09A To Ky Str Trung My Tay Ward Dist 12,Ho Chi Minh City,Ho Chi Minh,70000,Vietnam,SE ASIA,1002,834,79,0
Jinadasa Bennett (Pvt) Ltd. Mawathagama,FINISHED GOODS,Apparel,Nike,,FOUNDATION GARMENTS,Lot 03 EPZ Denver Estate Mawathagama,Kurunegala,Kurunegala,60060,Sri Lanka,S ASIA,1297,989,87,0
"SIGMA VIETNAM INDUSTRIAL CO.,LTD",FINISHED GOODS,Equipment,Nike,,SIGMA,AV AVI GIAO LONG INDUSTRIAL PARK II AN PHUOC COMMUNE,BENTRE,Bn Tre,86000,Vietnam,SE ASIA,842,798,63,1
PT Mercindo Global Manufaktur,FINISHED GOODS,Equipment,Nike,,MERCINDO,Jl Raya Semarang Bawen Km 29 Desa Samban Bawen,Ungaran,Jawa Tengah,50661,Indonesia,S ASIA,2742,2016,68,0
Wan Way,FINISHED GOODS,Equipment,Nike,Collegiate,WAN WAY,No 89 Sec 4,Tainan,Tainan,70966,Taiwan,N ASIA,9,6,33,0
"Colltex Garment Mfy Co., Ltd.(VN)",FINISHED GOODS,Apparel,Nike,Collegiate,ECLAT,Lot 28 Road No7 Trang Bang Industrial Park,Trang Bang,Tây Ninh,843440,Vietnam,SE ASIA,2133,2010,96,0
SHAHI EXPORTS PVT LTD UNIT 26,FINISHED GOODS,Apparel,Nike,Collegiate,SHAHI,Plot No 44 51 SY,Mandya,Karnataka,571428,India,S ASIA,5513,5069,86,0
Honways Apparel Shuyang Limited,FINISHED GOODS,Apparel,Nike,,HONSIN,No 6 Jiaxing Road East Shuyang Economic Dev Zone,Jiangsu Province,Jiangsu,223600,China,N ASIA,306,191,92,0
"Weifang Aoxiang Sports Products Co., Ltd",FINISHED GOODS,Equipment,Nike,,WEIFANG AOXIANG SPORTS,Xilianzitun Village Wangjiazhuang Street,Weifang,Shandong,262105,China,N ASIA,25,20,45,0
"Unichela (Pvt)Ltd, Vidiyal Division",FINISHED GOODS,Apparel,Nike,,MAS HOLDINGS,Bharathipuram Road,Kilinochchi,Kilinochchi,44000,Sri Lanka,S ASIA,2014,1690,98,0
"TIANCHEN (CAMBODIA) LUGGAGE CO., LTD.",FINISHED GOODS,Equipment,Nike,,HIP KEUNG,Prey Pradak Village ,Kampong Speu,Kampong Spueu,050112,Cambodia,SE ASIA,425,410,59,0
RJ Liebe Athletic Lettering Co. (Downtown),FINISHED GOODS,Apparel,Nike,,RJ LIEBE ATHLETIC LETTERING,2720 Washington,ST. Louis,Missouri,63103,USA,AMERICAS,14,12,100,0
The Emblem Source,FINISHED GOODS,Apparel,Nike,Collegiate,EMBLEM SOURCE,4417 Westgrove Drive,Addison,Texas,75001,USA,AMERICAS,18,16,50,0
"Vung Tau Orient Co., Ltd",FINISHED GOODS,Equipment,Nike,Collegiate,FENG TAY AC,Road No11 Dong Xuyen Industrial Zone,Ho Chi Minh City,Bình Duong,00070,Vietnam,SE ASIA,1326,1268,61,0
VIETNAM CHINGLUH SHOES CO. Ltd.,FINISHED GOODS,Footwear,Nike,Collegiate,CHING LUH,Thuan Dao Ind Park,Ben Luc,Long An,700000,Vietnam,SE ASIA,16387,13719,80,0
"Qingdao Changshin Shoes Co., LTD. Jimo Factory",FINISHED GOODS,Footwear,Nike,,CHANGSHIN,Mocheng Road59 2,Qingdao,Shandong,266200,China,N ASIA,345,279,37,0
"Dongguan Youkai Industrial Co., Ltd",FINISHED GOODS,Equipment,Nike,Collegiate,DONGGUAN YOUKAI,Room 501 Building 2 No 11 Dalingshan Hupan Nan Yi Jie,Dongguan,Guangdong,523000,China,N ASIA,15,11,36,0
"Vietnam Chingluh Shoes Co., Ltd - Vinh Long Branch",FINISHED GOODS,Footwear,Nike,,CHING LUH,LOT G2 G8,VINH LONG,Vinh Long,89000,Vietnam,SE ASIA,1070,898,69,0
CHANG SHIN DONG NAI COMPANY LTD,FINISHED GOODS,Footwear,Nike,,CHANGSHIN,LO IV II TAN PHU INDUSTRIAL ZONE,Dong Nai,Ðng Nai,76000,Vietnam,SE ASIA,3311,2962,94,0
"DECOTEX INTERNATIONAL, Ldta de C.V.",FINISHED GOODS,Apparel,Nike,,TEGRA,American Industrial Park,Ciudad Arce,La Libertad,05002,El Salvador,AMERICAS,1237,849,83,0
"Shaanxi White River Apparel CO., LTD.",FINISHED GOODS,Apparel,Nike,,SPORTS CITY,South of Lijiazhuo community,Weinan City,Shaanxi,715600,China,N ASIA,800,470,98,0
RAMATEX TEXTILES (NANTONG) LTD,FINISHED GOODS,Apparel,Nike,,RAMATEX,No 88 DEVELOPMENT AVENUE BAOCHANG TOWN,NANTONG CITY,Jiangsu,226100,China,N ASIA,105,100,0,0
"Shoetown Footwear Co.,Ltd",FINISHED GOODS,Footwear,Nike,Collegiate,SHOETOWN,Bapian Village Xuanzhen Road,Qingyuan City,Guangdong,511800,China,N ASIA,10975,8777,88,0
Der Will S.A.,FINISHED GOODS,Equipment,Nike,Collegiate,DER WILL,Monsenor de Andrea 3333 Villa de Mayo,Buenos Aires,Buenos Aires,1614,Argentina,AMERICAS,252,239,45,8
"CAN SPORTS VIETNAM CO., LTD",FINISHED GOODS,Footwear,Nike,,SPORTS GEAR,THUAN HOA HAMLET TRUONG MIT COMMUNE,Tay Ninh,Tây Ninh,730000,Vietnam,SE ASIA,6591,4941,71,0
CHANG SHIN INDONESIA,FINISHED GOODS,Footwear,Nike,,CHANGSHIN,JL DUSUN GINTUNGKOLOT,KARAWANG,Jawa Barat,41371,Indonesia,S ASIA,15834,15194,86,0
"TREMON SPORTING GOODS ENTERPRISE CO.,LTD (A STRIKER)",FINISHED GOODS,Equipment,Nike,,TREMON,Lot 24 Road No6 Trang Bang Industrial Park,Tay Ninh,Tây Ninh,80000,Vietnam,SE ASIA,574,501,59,1
Imperial Winona,FINISHED GOODS,Apparel,Nike,Collegiate,PARAMOUNT,Highway 19,Winona,Missouri,65588,USA,AMERICAS,91,88,73,0
Mas Fabrics Pvt Ltd - Methliya,FINISHED GOODS,Apparel,Nike,,MAS HOLDINGS,Mas Fabric Park,Kegalle,Kegalla,71000,Sri Lanka,S ASIA,2647,2151,79,0
"Shoetown Hunan FOOTWEAR CO.,LTD",FINISHED GOODS,Footwear,Nike,Collegiate,SHOETOWN,"Deng Ta Road, Qiyang Development Zone",YongZhou City,Hunan,426100,China,N ASIA,2505,2115,86,0
"VERTEX APPAREL 2022 CO.,LTD.",FINISHED GOODS,Apparel,Nike,Collegiate,HI TECH,18 Moo 2 Nonphueng Warinchamrap,Ubonratchathani,Ubon Ratchathani,34190,Thailand,SE ASIA,1091,837,76,23
"Di Seta (Cambodia) Co.,Ltd",FINISHED GOODS,Equipment,Nike,,DI SETA (CAMBODIA),Vattanac Industrial Park II National Road 3,Phnom Penh,Phnom Penh,120505,Cambodia,SE ASIA,489,456,77,0
"Berry Apparel (Cambodia) Co., Ltd.",FINISHED GOODS,Apparel,Nike,,RAMATEX,Phum Chumpou Voin,Phnom Penh,Phnom Penh,120911,Cambodia,SE ASIA,1240,1079,90,0
"UNIPAX VI THANH CO., LTD.",FINISHED GOODS,Apparel,Nike,Collegiate,HWASEUNG CROWN,LOT A13 A17,Vi Thanh ,Hu Giang,95000,Vietnam,SE ASIA,2334,2209,83,0
Staples Promotional Products,FINISHED GOODS,Apparel,Nike,Collegiate,STAPLES CONTRACT AND COMMERCIAL,1520 Albany Place SE,Orange City,Iowa,51041,USA,AMERICAS,295,260,73,0
Sterling Apparel Manufacturing L.L.C. Sahab,FINISHED GOODS,Apparel,Nike,,MAS HOLDINGS,Building D Altajamouat Industrial City,Sahab,Amman,11636,Jordan,EMEA,1968,1525,70,95
"SUMBER MASANDA JAYA, PT",FINISHED GOODS,Footwear,Nike,,PRATAMA,Jl Raya Bangsri ,Brebes,Jawa Tengah,52253,Indonesia,S ASIA,13896,12343,92,0
Sarno Display S.r.l. SOCIETA' BENEFIT,FINISHED GOODS,Equipment,Nike,,GATTO,Via Galileo Galilei 30,Carnate,Lombardia,20866,Italy,EMEA,90,60,58,3
"Sato knit Co., Ltd",FINISHED GOODS,Apparel,Nike,,SATO KNIT,2653 -1 Kitahama-machi,Amakusa-city,Kumamoto,863 0011,Japan,N ASIA,42,39,100,51
"Feng Tay Enterprises Co., Ltd",FINISHED GOODS,Footwear,Nike,,FENG TAY,No 52 Kegong 8th Road,Douliou,Yunlin,640,Taiwan,N ASIA,1860,247,49,0
Far Eastern Apparel Limited Vietnam,FINISHED GOODS,Apparel,Nike,Collegiate,FAR EASTERN,St 32 12A VSIP II A,Binh Duong,Bình Duong,750000,Vietnam,SE ASIA,1703,1315,69,0
Delta Socks Ltd.,FINISHED GOODS,Equipment,Nike,,DELTA EQ GROUP,INDUSTRIAL ZONE 1 HAYOTZRIM ST,KARMIEL,H_efa,20100,Israel,EMEA,205,13,38,0
East Wind Footwear Company Limited (India Branch) - Unit 2,FINISHED GOODS,Footwear,Nike,,FENG TAY,Plot No 3E Unit 2 SIPCOT Industrial Park,Chennai,Tamil Nadu,631701,India,S ASIA,3545,2399,84,0
"Xiamen Goge Garment Co., LTD",FINISHED GOODS,Apparel,Nike,,XIAMEN GOGE,Room 703 No 9 to 6 Tongming North Road Tongan District,Xiamen,Fujian,361113,China,N ASIA,30,23,100,0
Viet Khanh Company Limited,FINISHED GOODS,Apparel,Nike,Collegiate,SOUTH ISLAND,Hoa Phuc Hamlet,Tien Giang,Tin Giang,860000,Vietnam,SE ASIA,1219,1019,74,0
HAYAFUJI,FINISHED GOODS,Footwear,Nike,,HAYAFUJI,96 9,Kyoto-shi,Kyoto,603-8487,Japan,N ASIA,5,4,50,0
JK GARMENTS (PRIVATE) LIMITED,FINISHED GOODS,Apparel,Nike,,HONSIN,"MADAGALLA ROAD, IBBAGAMUWA",KURUNEGALA,Kurunegala,60500,Sri Lanka,S ASIA,1081,908,83,0
HESHAN TOP EAGLE GARMENT LTD.,FINISHED GOODS,Apparel,Nike,,NICE APPAREL,NO 001 DISTRICT 3 OF HECHENG INDUSTRIAL PARK,Heshan,Guangdong,529727,China,N ASIA,493,293,93,0
"Pilotknit Sport Wear Co.,ltd.",FINISHED GOODS,Apparel,Nike,,PILOT,89 13 Moo 2 Rama ll Road T Kokkrabur,Muang,Samut Sakhon,74000,Thailand,SE ASIA,735,639,76,82
PT Morich Indo Fashion,FINISHED GOODS,Apparel,Nike,,MORICH,JL RAYA KARANGJATI KM 25 GEMBONGAN KARANGJATI BERGAS,UNGARAN,Jawa Tengah,50552,Indonesia,S ASIA,2791,2656,80,0
Vertical Knits S.A. de C.V.,FINISHED GOODS,Apparel,Nike,Collegiate,VERTICAL KNITS,CALLE 20 131 C X 27 Y 29,Baca,Yucatán,97450,Mexico,AMERICAS,1947,1052,58,0
"Textiles La Paz, L.L.C.",FINISHED GOODS,Apparel,Nike,,FUN TEES,Zona Franca El Pedregal,El Rosario La Paz,La Paz,28026,El Salvador,AMERICAS,2153,1638,67,0
SUNNY JET HOSIERY (CAMBODIA) CO.LTD,FINISHED GOODS,Apparel,Nike,,SUNNY JET,National Road 02,Phnom Penh,Taakaev,210810,Cambodia,SE ASIA,428,409,55,1
"Song Hong Garment JSC - Song Hong 7 Branch: Factory 11,12,13,14",FINISHED GOODS,Apparel,Nike,,SONG HONG,Industrial Cluster Yen Dinh Town Hai Hau District,Nam Dinh,Nam Ðnh,428200,Vietnam,SE ASIA,1913,1678,77,0
"Paramount Apparel International, LLC.",FINISHED GOODS,Apparel,Nike,Collegiate,PARAMOUNT,1916 Imperial Way,Bourbon,Missouri,65441,USA,AMERICAS,290,90,42,0
Ramatex Apparel Suzhou Ltd.,FINISHED GOODS,Apparel,Nike,,RAMATEX,"115 Ting Nan Lu, Wei Ting Town, Suzhou Industrial Park",Suzhou,Jiangsu,215121,China,N ASIA,349,303,92,0
Vo Nhai Garment Branch – TNG Investment and Trading JSC,FINISHED GOODS,Apparel,Nike,,VO NHAI 1 GARMENT BRANCH,Cay Bong Industrial Park La Hien Commune Vo Nhai District,Thai Nguyen,Thái Nguyên,24000,Vietnam,SE ASIA,1871,1678,79,0
DASS Nordeste Calcados e Artigos Esportivos LTDA.,FINISHED GOODS,Footwear,Nike,,DASS,RUA PROFESSORA MARIA LIA CELIA VELLAME,SANTO ESTEVAO,Bahia,44190-000,Brazil,AMERICAS,6012,4452,61,0
"Pacific Athletic Wear, Inc. ",FINISHED GOODS,Apparel,Nike,,PACIFIC ATHLETIC WEAR,7340 Lampson Avenue,Garden Grove,California,92841,USA,AMERICAS,101,86,58,0
"Dong Guan Goldenprene Sporting Goods Co., Ltd.",FINISHED GOODS,Equipment,Nike,Collegiate,GUANG DER,Number 17 West Jinfu Road,"Liaobu Town, Dong Guan",Guangdong,523406,China,N ASIA,731,581,58,0
"JIANGSU JINHUBAO GARMENT CO., LTD",FINISHED GOODS,Apparel,Nike,,DECOR,LIDIAN TOWN GUANGLING DISTRICT,YANGZHOU,Jiangsu,225106,China,N ASIA,141,122,89,0
PT PRATAMA ABADI INDUSTRI,FINISHED GOODS,Footwear,Nike,,PRATAMA,Jalan Raya Bandung Tasikmalaya KM 43 Desa Cijolang,Garut,Jawa Barat,44186,Indonesia,S ASIA,8591,7791,97,0
"BRANCH 1 OF GREENTECH HEADGEAR CO., LTD IN DONG NAI",FINISHED GOODS,Apparel,Nike,Collegiate,ASIAN SOURCING HEADWEAR,ROAD No 3 NHON TRACH 2 IZ NHON PHU,NHON TRACH,Ðng Nai,810000,Vietnam,SE ASIA,1680,1400,80,0
VINH TIEN GARMENT JOINT STOCK COMPANY,FINISHED GOODS,Apparel,Nike,,SOUTH ISLAND,1A Hung Dao Vuong,Vinh Long,Vinh Long,850000,Vietnam,SE ASIA,1437,1215,73,0
PT Jinlin Luggage Indonesia,FINISHED GOODS,Equipment,Nike,,FORMOSA,JI Raya Jepara Kudus KM 28 Sengonbugel Mayong Kab,JEPARA,Jawa Tengah,59465,Indonesia,S ASIA,1350,1181,31,2
"CHANG SHIN VIETNAM COMPANY, LTD.",FINISHED GOODS,Footwear,Nike,,CHANGSHIN,Thanh Phu Vinh Cuu Dong Nai,Dong Nai,Ðng Nai,76000,Vietnam,SE ASIA,34190,30898,75,0
COCALQUI COOPERATIVA DE TRABALHO DA INDUSTRIA DE CALCADOS DE QUIXERAMOBIM LTDA.,FINISHED GOODS,Footwear,Nike,,ANIGER,AV JOSE G PINHEIRO 155 EDMILSON CORREIA,QUIXERAMOBIM,Ceará,63800-000,Brazil,AMERICAS,5554,5084,54,0
POVOLO SRL,FINISHED GOODS,Apparel,Nike,,POVOLO,VIA GRAN BRETAGNA 1,Gallarate,Varese,21013,Italy,EMEA,24,16,94,31
PT Victory Chingluh Indonesia,FINISHED GOODS,Footwear,Nike,,CHING LUH,JL Raya Pasarkemis Rajeg,Tangerang,Banten,15560,Indonesia,S ASIA,4175,3645,56,0
"Olive Apparel (Cambodia) Co., Ltd.",FINISHED GOODS,Apparel,Nike,,RAMATEX,National Road No 3 Phum Prey Kambot,Phnom Penh,Phnom Penh,120910,Cambodia,SE ASIA,1473,1304,84,0
PT. Kanindo Makmur Jaya,FINISHED GOODS,Equipment,Nike,Collegiate,KANAAN,Jalan Raya Jepara Kudus,Jepara,Jawa Tengah,59462,Indonesia,S ASIA,6030,5929,64,0
