Factory_Name,Category,Product_Type,Brand,Empty,Parent_Group,Address,City,State,Zip,Country,Region,Workers,Female_Workers,Line_Workers,Migrant_Workers
Sun Yuan Optical (Vietnam) Co. Ltd.,FINISHED GOODS,Equipment,Nike,,SUN YUAN OPTICAL (VIETNAM) CO LTD,Lot N3 Road No01 Phuc Long IP Long Hiep Commune,Ben Luc District,Long An,850000,Vietnam,SE ASIA,126,105,80,0
Viet Long Giang Garment Joint Stock Company ,FINISHED GOODS,Apparel,Nike,,SOUTH ISLAND,Highway 91 Group 9,Can Tho City,Can Tho,900000,Vietnam,SE ASIA,1141,954,77,0
"Shishi Maihong Clothing Co., LTD",FINISHED GOODS,Apparel,Nike,,SHISHI HONGTING,2 Fuyuan West Road Shishi City Fujian province China,shishi,Fujian,362799,China,N ASIA,131,107,73,0
"Wilson Leather Cambodia Co., LTD.",FINISHED GOODS,Equipment,Nike,,GUANG DER,THLORK VILLAGE,Samraong Tong District,Kampong Spueu,050113,Cambodia,SE ASIA,1295,894,60,6
TOPSHOES IND CALCADOS SA,FINISHED GOODS,Footwear,Converse,,COOPERSHOES,RODOVIA CE 377 SN,QUIXERE,Ceará,62920000,Brazil,AMERICAS,938,690,65,0
"Hao’s Fitness Equipment (Shanghai) Co., Ltd. TRADING LTD",FINISHED GOODS,Equipment,Nike,,JOSH SHANGHAI INDUSTRIAL,No188 Gangde Road Songjiang District Shanghai,Shanghai,Shanghai,201616,China,N ASIA,41,35,31,0
SHAOYANG STELLA FOOTWEAR COMPANY LIMITED,FINISHED GOODS,Footwear,Nike,Collegiate,STELLA,JIXIAN ROAD,SHAOYANG CITY,Hunan,422000,China,N ASIA,4389,3838,86,0
Ningbo Eastex,FINISHED GOODS,Apparel,Nike,Collegiate,NINGBO EASTEX,No 218 Shun Tai Road Zhenhai District,Ningbo,Zhejiang,32151,China,N ASIA,180,153,76,0
"Lijing Regina Miracle Intimate Apparel (Zhaoqing) Co., Ltd",FINISHED GOODS,Apparel,Nike,Collegiate,REGINA MIRACLE,No 16 Keji 2nd Road,Zhaoqing,Guangdong,526071,China,N ASIA,249,221,71,0
"Chang Wong Industrial Co., Ltd.",FINISHED GOODS,Equipment,Nike,,CHANG WONG INDUSTRIAL,No 139 Lane 92 Feng Nan Street Feng  Yuan District,Taichung City,Taichung,420012,Taiwan,N ASIA,30,22,32,27
"The Haddad Apparel Wuxi, Co., LTD",FINISHED GOODS,Apparel,Nike,,HADDAD,Floor 4 No 28 19 Nanhu Center Road,Wuxi,Jiangsu,214125,China,N ASIA,71,48,83,0
Pou Chen Vietnam Enterprise Ltd.,FINISHED GOODS,Footwear,Nike,,POU CHEN,"Nguyen Ai Quoc Street, An Hoa Quarter, Hoa An Ward,",Bien Hoa City,Ðng Nai,76113,Vietnam,SE ASIA,16060,12339,83,0
"A & K Designs, Inc.",FINISHED GOODS,Apparel,Nike,Collegiate,A & K DESIGNS,8564 NE Alderwood Road,Portland,Oregon,97220,USA,AMERICAS,136,125,69,0
Sewing Jonah,FINISHED GOODS,Apparel,Nike,,SEWING JONAH,11 71 8 Chome Chikami Minami Ku,Kumamoto -city,Kumamoto,861 4101,Japan,N ASIA,28,25,100,12
PT Sport Glove Indonesia ,FINISHED GOODS,Equipment,Nike,,PT SPORT,Dusun Krandon Desa Pandowoharjo Sleman Yogyakarta Indonesia,Sleman,Yogyakarta,55512,Indonesia,S ASIA,1659,1423,85,0
"DIN SEN VIETNAM (LONG AN) ENTERPRISE CO., LTD",FINISHED GOODS,Apparel,Nike,Collegiate,EAGLE NICE,69A National Highway 1,Ben Luc,Long An,82651,Vietnam,SE ASIA,2589,1799,88,0
"DONA VICTOR FOOTWEAR CO., LTD",FINISHED GOODS,Footwear,Nike,,FENG TAY,SONG MAY INDUSTRIAL ZONE BAC SON WARD,TRANG BOM DISTRICT,Ðng Nai,76313,Vietnam,SE ASIA,10748,8619,71,0
TKG TAEKWANG MOC BAI JOINT STOCK COMPANY,FINISHED GOODS,Footwear,Nike,,TAEKWANG,Hiep Thanh Commercial Area,Tay Ninh,Tây Ninh,80000,Vietnam,SE ASIA,6522,6369,85,0
"Papillion Textile (Cambodia) Co., Ltd",FINISHED GOODS,Apparel,Nike,,TUNTEX, Vattanak II Industry Park National Road No 3,Phnom Penh,Phnom Penh,12412,Cambodia,SE ASIA,1260,1154,89,0
"Fujian Zhuojian Garment Technology Co., Ltd",FINISHED GOODS,Apparel,Nike,,FUJIAN ZHUOJIAN,Floor5 No4JinlongRoad,Quanzhou,Fujian,362712,China,N ASIA,98,88,58,0
"Hip Keung (Cambodia) Manufacturing Co., Ltd.",FINISHED GOODS,Apparel,Nike,,HIP KEUNG,Preah Khe Village Kahang Commune,Phnom Penh,Kampong Spueu,50802,Cambodia,SE ASIA,895,858,81,1
East Wind Footwear Company Limited (India Branch) - Unit I,FINISHED GOODS,Footwear,Nike,,FENG TAY,Plot No 3D Unit 1 SIPCOT Industrial Park,Chennai,Tamil Nadu,631701,India,S ASIA,4972,4780,63,0
PT Nikomas Gemilang,FINISHED GOODS,Footwear,Nike,,POU CHEN,Jalan Raya Serang KM71 Desa Tambak Kibin,Serang,Banten,42186,Indonesia,S ASIA,23522,19181,84,0
Supertex El Salvador S.A. de C.V.,FINISHED GOODS,Apparel,Nike,,SUPERTEX,Km 76 5 By Pass Norte,Chalchuapa,Santa Ana,02205,El Salvador,AMERICAS,3309,2611,70,0
"JINGNING XUANCHEN TECHNOLOGY CO., LTD.",FINISHED GOODS,Apparel,Nike,,JINGNING XUANCHEN TECHNOLOGY,99 Tuanjie East Road Hongxin Street Jingning County,Lishui,Zhejiang,323500,China,N ASIA,48,43,95,0
"QINGDAO MAITE FITNESS EQUIPMENT CO.,LTD",FINISHED GOODS,Equipment,Nike,,QINGDAO MAITE,500m North of Yangshankuang Village,Qingdao,Shandong,266205,China,N ASIA,17,9,11,0
"Unipax Co., Ltd",FINISHED GOODS,Apparel,Nike,Collegiate,HWASEUNG CROWN,Lot 101 2 and Lot 101 4 Amata Road 3,Bien Hoa City,Ðng Nai,810000,Vietnam,SE ASIA,1999,1534,95,0
PT Victory Chingluh Indonesia,FINISHED GOODS,Footwear,Nike,,CHING LUH,Jl Otonom Pasar Kemis No 48 and 49,Tangerang,Banten,15560,Indonesia,S ASIA,11562,9585,71,0
"Dona Pacific (Vietnam) Co., Ltd.",FINISHED GOODS,Footwear,Nike,,FENG TAY,Song May Industrial Zone Bac Son Ward,Dong Nai,Ðng Nai,76313,Vietnam,SE ASIA,7791,7105,62,0
Ningbo Bell Garment Industrial Co. Ltd,FINISHED GOODS,Apparel,Nike,,NINGBO BELL,No 422 Jianghu Road Jiangbei Investment Zone C,Ningbo,Zhejiang,315033,China,N ASIA,120,98,90,0
Viet Tien Garment Corporation,FINISHED GOODS,Apparel,Nike,Collegiate,SOUTH ISLAND,7 Le Minh Xuan,Ho Chi Minh,Ho Chi Minh,7000,Vietnam,SE ASIA,1548,1392,78,0
PT PRATAMA ABADI INDUSTRI,FINISHED GOODS,Footwear,Nike,,PRATAMA,Jl Sukabumi Cianjur KM14 Sukabumi West Java,Sukabumi,Jawa Barat,43191,Indonesia,S ASIA,17523,15583,84,0
"DONGGUAN RICHWAY HANDBAG CO., LTD.",FINISHED GOODS,Apparel,Nike,,DONGGUAN RICHWAY,Room 101 4 of 13 Lindong 1st Road Lincun Tangxia Town,Dongguan,Guangdong,523711,China,N ASIA,115,100,64,0
"Nanjing 3H Medical Products Co., Ltd.",FINISHED GOODS,Equipment,Nike,,NANJING 3H MEDICAL,No 5 Zhushan Road Gaochun Economic Development Zone,Nanjing ,Jiangsu,211300,China,N ASIA,670,360,60,0
Almaxtex Tekstil Sanayi ve Ticaret A.S.,FINISHED GOODS,Apparel,Nike,Collegiate,YESIM,Karapinar Mah Ankara Yolu Cad,Bursa,Bursa,16580,Turkey,EMEA,2743,1500,44,0
Cygnus Investments S.A. de C.V.,FINISHED GOODS,Apparel,Nike,Collegiate,CYGNUS,Km 30 and a half Carretera al Aeropuerto Internacional,Olocuilta,La Paz,01608,El Salvador,AMERICAS,468,403,52,0
"Walt Technology Group Co., Ltd.",FINISHED GOODS,Apparel,Nike,,ZHEJIANG WALT,48 Shijing Road,Haining,Zhejiang,314400,China,N ASIA,865,392,82,1
"Pinghu Lipai Bags and Luggage Co., Ltd.",FINISHED GOODS,Apparel,Nike,,PINGHU LIPAI,No123 Hehe Road,Pinghu,Zhejiang,314200,China,N ASIA,190,158,92,0
AURORA VIETNAM INDUSTRIAL FOOTWEAR CO. LTD,FINISHED GOODS,Footwear,Converse,,HUALI,THIEN HUONG HAMLET 5 THIEN HUONG WARD,HAI PHONG,Hai Phong,180000,Vietnam,SE ASIA,4919,4335,89,0
RAMATEX INDUSTRIAL SUZHOU LTD,FINISHED GOODS,Apparel,Nike,,RAMATEX,88 SU HONG XI LU SUZHOU INDUSTRIAL PARK,Suzhou,Jiangsu,215021,China,N ASIA,372,320,94,0
DASS NORDESTE CALÇADOS E ARTIGOS ESPORTIVOS LTDA,FINISHED GOODS,Footwear,Nike,,DASS,"RUA JULIO HAUSER, 1640 - BAIRRO 7 DE SETEMBRO",Ivoti,Rio Grande do Sul,93900-000,Brazil,AMERICAS,44,22,86,0
Far Eastern Apparel (Vietnam) Limited,FINISHED GOODS,Apparel,Nike,Collegiate,FAR EASTERN,No 46 Dai Lo Tu Do Vietnam Singapore Industrial Park,Thuan An,Bình Duong,75000,Vietnam,SE ASIA,3879,2902,83,0
Sabrina Cambodia Garment Manufacturing,FINISHED GOODS,Apparel,Nike,Collegiate,SABRINA,National Rd,Samrong Torng District,Otdar Mean Chey,13256,Cambodia,SE ASIA,5887,4211,95,0
Asena 4,FINISHED GOODS,Apparel,Nike,Collegiate,YESIM,LENIN STREET  243a,"KONGAZ,COMRAT",Gagauzia-- Unitate,3815,Moldova,EMEA,670,537,97,0
Interloop Limited Apparel Park,FINISHED GOODS,Equipment,Nike,,INTERLOOP,Bypass Khurrianwala,Faisalabad,Punjab,37630,Pakistan,S ASIA,2273,1945,11,0
Guangzhou Yisetong Clothing Co.Ltd,FINISHED GOODS,Apparel,Nike,,GUANGZHOU YISETONG,Jinshan Industrial Park 8 building 4F,Guangzhou,Guangdong,511400,China,N ASIA,5,4,50,0
Textil H.J.Hering Ltda,FINISHED GOODS,Apparel,Nike,,TEXTIL H.J. HERING,Rua Rio de Janeiro 965  Bairro dos Estados,Indaial,Santa Catarina,89086-723,Brazil,AMERICAS,305,287,78,0
"WUXI BROTHERS PACKAGING CO., LTD ",FINISHED GOODS,Equipment,Nike,,"WUXI BROTHERS PACKAGING CO., LTD",No 88,Wuxi,Jiangsu,214199,China,N ASIA,15,9,89,0
Fairway Enterprises Company Ltd (India Branch) - Unit 1,FINISHED GOODS,Footwear,Nike,,FENG TAY,Plot no G 1B SIPCOT Industrial Park,KRISHNAGIRI,Tamil Nadu,635304,India,S ASIA,4202,4176,60,0
Vertical Knits S.A. de C.V. (MDC - Tizimin),FINISHED GOODS,Apparel,Nike,Collegiate,VERTICAL KNITS,tablaje catastral 2669 SN CP 97702,Tizimin,Yucatán,97702,Mexico,AMERICAS,952,731,65,0
Vertical Knits S.A. de C.V. (MDC - Campeche),FINISHED GOODS,Apparel,Nike,,VERTICAL KNITS,Avenida Baja Velocidad No 108,Colonial Campeche,Campeche,24087,Mexico,AMERICAS,468,372,76,0
YICHANE CO.LTD,FINISHED GOODS,Equipment,Nike,,YICHANE,NO34 LANE 172 CHENGSI ST,Tainan,Tainan,709,Taiwan,N ASIA,27,14,71,0
VIET NAM ARGENT OPTICAL LIMITED COMPANY,FINISHED GOODS,Equipment,Nike,,VIET NAM ARGENT OPTICAL,Lot CN6 Ba Thien Industrial Park Ba Hien Town,Binh Xuyen,Vinh Phúc,15800,Vietnam,SE ASIA,121,90,62,0
Zentrix Huamantla,FINISHED GOODS,Apparel,Nike,,ZENTRIX,Calle Virgen de la Caridad 1,Huamantla,Tlaxcala,90500,Mexico,AMERICAS,1327,1134,70,0
"TKG TAEKWANG INDUSTRY CO., LTD.",FINISHED GOODS,Footwear,Nike,,TAEKWANG,258 9 AN DONG,GIMHAE,Gyeongsangnamdo,62120,South Korea,N ASIA,896,310,61,0
Far Eastern New Apparel (Vietnam) Ltd (MDC),FINISHED GOODS,Apparel,Nike,Collegiate,FAR EASTERN,D1 Street Bac Dong Phu Industrial Park,Binh Phuoc,Ðng Nai,83000,Vietnam,SE ASIA,3530,2530,76,42
"Thai Sock Co., Ltd.",FINISHED GOODS,Equipment,Nike,Collegiate,THAI SOCKS,29 1 Moo 4,Prapradaeng,Samut Prakan,10130,Thailand,SE ASIA,360,279,75,0
Marbelys,FINISHED GOODS,Apparel,Nike,,MARBELYS,4ta Calle Final 4 00 zona 2,San Pedro Sacatepequez,Guatemala,01058,Guatemala,AMERICAS,134,128,57,0
"Fanatics Licensed Sports Group, LLC. - Hoover",FINISHED GOODS,Apparel,Nike,Collegiate,FANATICS,6290 Hoover Blvd,Tampa,Florida,33364,USA,AMERICAS,430,400,69,0
"FASHION GARMENTS MEKONG CO., LTD",FINISHED GOODS,Apparel,Nike,,FASHION GARMENTS,818B Highway 30 Hamlet 3 An Hoa Commune,Tam Nong,Ðng Tháp,870000,Vietnam,SE ASIA,1852,1702,76,0
Hi-Tech Savannakhet Apparel Sole Company Limited,FINISHED GOODS,Apparel,Nike,,HI TECH,Lot 241 242 245 246,Phomvihane,Savannakhét,13000,Laos,SE ASIA,276,204,100,7
"Hi-Tech Chaiyaphum Apparel (2020) Co.,Ltd.",FINISHED GOODS,Apparel,Nike,Collegiate,HI TECH,9 Moo 11 Tambol Naseiw,Muang,Chaiyaphum,36000,Thailand,SE ASIA,1007,739,85,45
"Viet Hong Garment Export Co., Ltd.",FINISHED GOODS,Apparel,Nike,,SOUTH ISLAND,425B Nguyen Dinh Chieu St W 8,Ben Tre,Bn Tre,150513490,Vietnam,SE ASIA,1421,1286,72,0
Longway Vietnam Company Limited,FINISHED GOODS,Equipment,Nike,,LONGWAY,Lot HC1 and Lot 01HC2 Route 3,Duc Hoa,Long An,863900,Vietnam,SE ASIA,806,665,86,1
"MARVEL GARMENT CO.,LTD.",FINISHED GOODS,Apparel,Nike,,SHENZHOU,PPSEZ Beung Thom 3 village,Phnom Penh,Phnom Penh,120909,Cambodia,SE ASIA,18998,17442,95,2
"Asia Caps (Thailand) Co., Ltd.",FINISHED GOODS,Apparel,Nike,,ASIA CAPS,6Anamai Ngamcharoen Road Thakam Bangkhunthien,Bangkok,Bangkok,10150,Thailand,SE ASIA,178,133,93,100
VIMAL CLOTHING ENTERPRISE CC,FINISHED GOODS,Apparel,Nike,,VIMAL CLOTHING,4 Fairways Avenue,Durban,Kwazulu-Natal,4300,South Africa,EMEA,203,195,91,0
TKG TAEKWANG CAN THO COMPANY LIMITED,FINISHED GOODS,Footwear,Nike,,TAEKWANG,Hung Phu 2B Industrial Park Phu Thu ward,Cai Rang,Can Tho,900000,Vietnam,SE ASIA,14672,14277,65,0
GILDAN HOSIERY RIO NANCE S de R.L.,FINISHED GOODS,Equipment,Nike,,GILDAN,ZOLI Gildan Honduras Properties Kilometro 15 and 5 ,Choloma,Cortés,21112,Honduras,AMERICAS,2247,2175,40,0
Ha Thanh Garment Joint Stock Company,FINISHED GOODS,Apparel,Nike,,THUAN PHUONG,Hai An village Nguyen Du commune Hung Yen province,,Hung Yên,160000,Vietnam,SE ASIA,950,878,67,0
COOPERSHOES - COOPERATIVA DE TRABALHO E INDUSTRIA DE CALÇADOS JOANETENSE LTDA (Picada Café),FINISHED GOODS,Footwear,Converse,,COOPERSHOES,Rua Vicente Prieto 3581,Picada Cafe,Rio Grande do Sul,95166-000,Brazil,AMERICAS,685,331,68,0
"QUANG VIET ENTERPRISE CO., LTD",FINISHED GOODS,Apparel,Nike,,QUANG VIET,NGUYEN VAN NI STREET  HAMLET  2,HO CHI MINH,Ho Chi Minh,70000,Vietnam,SE ASIA,4745,4278,91,0
Lotus Footwear Enterprises Limited Unit-2,FINISHED GOODS,Footwear,Nike,,FENG TAY,Plot 3C SIPCOT Industrial Park Mangal Village Mathur post,Near Kanchipuram,Tamil Nadu,631701,India,S ASIA,4969,4940,57,0
Diamant srl #2,FINISHED GOODS,Footwear,Nike,,DIAMANT,Via Giorgio Perlasca 6B,MONTEBELLUNA,Veneto,31044,Italy,EMEA,58,50,80,4
Ripon Athletic,FINISHED GOODS,Apparel,Nike,,RIPON,"290 Junction St, P.O. BOX 25",Berlin,Wisconsin,54923,USA,AMERICAS,140,120,92,0
"Jerash Garments and Fashions Manufacturing Co.Ltd, Al - Hasa Unit ",FINISHED GOODS,Apparel,Converse,,"JERASH GARMENTS & FASHIONS, AL-HASA UNIT APPAREL",398 Al Hasa 1Qa Al Fehaili Al Tafileh,Tafilah,At Tafilah,64610,Jordan,EMEA,474,432,92,8
PT Mitra Garindo Perkasa,FINISHED GOODS,Apparel,Nike,,MAP,JL Pancasila V 21 Cicadas Gunung Putri Bogor,Bogor,Jawa Barat,16964,Indonesia,S ASIA,1089,935,92,0
DOG STYLE SA DE CV,FINISHED GOODS,Equipment,Nike,,DOG STYLE SA,CARRETERA LEON LAGOS DE MORENO NO 2237,LEON GTO,Guanajuato,37690,Mexico,AMERICAS,173,147,56,0
NICE APPAREL COMPANY LIMITED,FINISHED GOODS,Apparel,Nike,Collegiate,NICE APPAREL,2 7 8 slash 1 slash 3 Soi Ngamwongwan 25 slash19,MUANG DISTRICT,Nonthaburi,11000,Thailand,SE ASIA,1144,738,70,46
"Hi-Tech Chai1 Co.,Ltd. ",FINISHED GOODS,Apparel,Nike,Collegiate,HI TECH,999 Moo 3  Tumbol Ladyai   Amphur Muang,Muang,Chaiyaphum,36000,Thailand,SE ASIA,1092,973,67,22
"HI-TECH SURIN APPAREL (2020) CO., LTD (00001)",FINISHED GOODS,Apparel,Nike,Collegiate,HI TECH,489 Moo 7,Thatoom,Surin,32120,Thailand,SE ASIA,778,695,73,0
Quanzhou Unison Light Industrial Manufacturing Co. Ltd.,FINISHED GOODS,Apparel,Nike,,QUANZHOU UNISON LIGHT INDUSTRIAL,LINJIANG INDUSTRIAL PARK,Quanzhou,Fujian,362000,China,N ASIA,82,62,81,0
"EISHIN CO., LTD.",FINISHED GOODS,Equipment,Nike,,CROSTER,43 1,Fukushima,Hukusima,969-0101,Japan,N ASIA,85,77,66,0
PETTENATI,FINISHED GOODS,Apparel,Nike,,PETTENATI,Rod RSC 453 Km 2 4,Caxias Do Sul,Rio Grande do Sul,95010,Brazil,AMERICAS,667,561,98,6
ANIGER CALCADOS SUPRIMENTOS E EMPREENDIMENTOS LTDA,FINISHED GOODS,Footwear,Nike,,ANIGER,"Rua Armindo Eltz, 51 - Quatro Colonias",Campo Bom RS,Rio Grande do Sul,93700-000,Brazil,AMERICAS,441,64,66,3
Ad Dulyal,FINISHED GOODS,Apparel,Nike,,MAS HOLDINGS,Part of land no 1075 Basin 5 Ad Dulayl,Zarqa,Az Zarqa,11183,Jordan,EMEA,1208,1048,84,86
"Lok Wah (Vietnam) Manufacturing Co., Ltd",FINISHED GOODS,Equipment,Nike,,LOK WAH,Land plot no H8 Hoa Xa industrial park My Xa ward,Nam Dinh,Nam Ðnh,07000,Vietnam,SE ASIA,236,194,87,1
"SUNNY JET HOSIERY CO., LIMITED",FINISHED GOODS,Apparel,Nike,,SUNNY JET,NO 9 LONGQUAN ROAD GUANGLING INDUSTRY ZONE,YANGZHOU,Jiangsu,225003,China,N ASIA,263,182,92,0
Dongguan leefong label manufacture co ltd.,FINISHED GOODS,Apparel,Nike,,LEE BOU LABEL ENTERPRISE,NO 9 WUSONG ROAD YUWU COMMUNITY,DONGGUAN,Guangdong,523117,China,N ASIA,475,406,2,0
Styldea SRL,FINISHED GOODS,Footwear,Converse,,STYLDEA,VIA BUSTA  9 3,Altivole,Treviso,31030,Italy,EMEA,7,2,100,0
"AHP APPAREL PVT LTD., UNIT 60",FINISHED GOODS,Apparel,Nike,Collegiate,SHAHI,207 ABDE F KIADB INDUSTRIAL AREA,HASSAN,Karnataka,573201,India,S ASIA,2704,906,95,0
"Shenzhen Allwell Sports Products Manufacturing Co.,Ltd",FINISHED GOODS,Equipment,Nike,,SHENZHEN ALLWELL,1F 2F 3F 4F  ALLWELL Factory,Shenzhen,Guangdong,518115,China,N ASIA,96,56,57,0
VIRTUE KING VIETNAM COMPANY LIMITED,FINISHED GOODS,Equipment,Nike,Collegiate,GUANG DER,No 28 DT743 Road Song Than 2 Industrial Zone,Binh Duong,Bình Duong,72000,Vietnam,SE ASIA,1948,1874,79,0
DASS NORDESTE CALCADOS E ARTIGOS ESPORTIVOS LTDA.,FINISHED GOODS,Apparel,Nike,,CLASSICO,Av Juracy Magalhaes 5200,Vitoria da Conquista,Bahia,45023-490,Brazil,AMERICAS,2415,1480,81,0
Nice Apparel Company Limited Branch Chumphae,FINISHED GOODS,Apparel,Nike,Collegiate,NICE APPAREL,219 Moo 2 Maliwan Road T Non Udom,Chumpae,Khon Kaen,40130,Thailand,SE ASIA,3328,3242,72,0
Shoetown JinTan,FINISHED GOODS,Footwear,Nike,Collegiate,SHOETOWN,Da Wan Gang Village,Qingyuan City,Guangdong,511515,China,N ASIA,874,801,91,0
PT Trigoldenstar Wisesa,FINISHED GOODS,Apparel,Nike,,TRIGOLDENSTAR,Jl Rumambe Desa Anggadita Kec Klari,Karawang,Jawa Barat,41371,Indonesia,S ASIA,132,106,92,0
"Vietnam Dona Standard Footwear Co., Ltd",FINISHED GOODS,Footwear,Nike,,FENG TAY,Xuan Loc Industrial Zone,Xuan Loc District,Ðng Nai,76000,Vietnam,SE ASIA,19155,16962,70,0
